trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
80,0,80,0,188.79653937499825,189.79669274999833,189.79669274999833,up,1,0.931689417000598,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
81,0,81,0,190.7466874169986,191.7473623750011,191.7473623750011,down,0,0.7308189579998725,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
82,0,82,0,192.49680379200072,193.49757483400026,193.49757483400026,down,1,0.5290410000015981,-4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
83,0,83,0,194.04698358400128,195.04697441700046,195.04697441700046,up,1,0.8983204159994784,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
84,0,84,0,195.9635661249995,196.96358683400103,196.96358683400103,down,0,0.7727980829986336,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
85,0,85,0,197.76352962500096,198.7640887919988,198.7640887919988,down,0,0.5701469169980555,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
86,0,86,0,199.3634166669981,200.3641900420007,200.3641900420007,down,1,0.632307124997169,-5,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
87,0,87,0,201.01372029200138,202.01328550000107,202.01328550000107,up,1,0.6901550829970802,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
88,0,88,0,202.73016004199962,203.73071908400016,203.73071908400016,up,0,0.6196097909960372,1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
89,0,89,0,204.37987445899853,205.37978891699822,205.37978891699822,down,1,0.820313416999852,4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
90,0,90,0,206.23029108400078,207.23036154199872,207.23036154199872,up,0,0.7989314580008795,2,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
91,0,91,0,208.04734295899834,209.04694637500143,209.04694637500143,up,0,0.6212550409982214,2,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
92,0,92,0,209.69679904199802,210.69678704200123,210.69678704200123,down,1,0.7193702919976204,-3,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
93,0,93,0,211.44680933400014,212.44755904200065,212.44755904200065,down,0,0.630463833000249,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
94,0,94,0,213.09701012499863,214.0968854999992,214.0968854999992,down,1,0.6706938329989498,-1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
95,0,95,0,214.79699274999803,215.79721112499828,215.79721112499828,up,1,1.085870666000119,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
96,0,96,0,216.91348333399947,217.91356170899962,217.91356170899962,up,1,1.0853702499989595,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
97,0,97,0,219.03011304200118,220.03108391700152,220.03108391700152,down,1,0.5324257089996536,-5,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
98,0,98,0,220.58046000000104,221.58110016700084,221.58110016700084,up,1,0.8611820829974022,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
99,0,99,0,222.46364616700157,223.4635768750013,223.4635768750013,up,1,0.8010548749989539,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
100,0,100,0,224.29686391699943,225.29791850000038,225.29791850000038,up,1,0.6579887080006301,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
