1.4376 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
134.1294 	EXP 	fixation: autoDraw = False
134.1294 	EXP 	grating: autoDraw = True
134.4299 	EXP 	grating: autoDraw = False
134.8667 	EXP 	New trial (rep=50, index=0): None
134.8696 	DATA 	Keypress: down
134.8791 	EXP 	fixation: autoDraw = False
134.8791 	EXP 	grating: autoDraw = False
134.8791 	EXP 	grating: ori = -4.0
134.8791 	EXP 	fixation: autoDraw = True
135.8793 	EXP 	fixation: autoDraw = False
135.8793 	EXP 	grating: autoDraw = True
136.1791 	EXP 	grating: autoDraw = False
136.5339 	EXP 	New trial (rep=51, index=0): None
136.5367 	DATA 	Keypress: down
136.5461 	EXP 	fixation: autoDraw = False
136.5461 	EXP 	grating: autoDraw = False
136.5461 	EXP 	grating: ori = 0.0
136.5461 	EXP 	fixation: autoDraw = True
137.5460 	EXP 	fixation: autoDraw = False
137.5460 	EXP 	grating: autoDraw = True
137.8472 	EXP 	grating: autoDraw = False
138.3669 	EXP 	New trial (rep=52, index=0): None
138.3699 	DATA 	Keypress: up
138.3790 	EXP 	fixation: autoDraw = False
138.3790 	EXP 	grating: autoDraw = False
138.3790 	EXP 	grating: ori = 0.0
138.3790 	EXP 	fixation: autoDraw = True
139.3791 	EXP 	fixation: autoDraw = False
139.3791 	EXP 	grating: autoDraw = True
139.6792 	EXP 	grating: autoDraw = False
140.2503 	EXP 	New trial (rep=53, index=0): None
140.2531 	DATA 	Keypress: up
140.2628 	EXP 	fixation: autoDraw = False
140.2628 	EXP 	grating: autoDraw = False
140.2628 	EXP 	grating: ori = 0.0
140.2628 	EXP 	fixation: autoDraw = True
141.2628 	EXP 	fixation: autoDraw = False
141.2628 	EXP 	grating: autoDraw = True
141.5630 	EXP 	grating: autoDraw = False
142.0672 	EXP 	New trial (rep=54, index=0): None
142.0699 	DATA 	Keypress: up
142.0794 	EXP 	fixation: autoDraw = False
142.0794 	EXP 	grating: autoDraw = False
142.0794 	EXP 	grating: ori = -2.0
142.0794 	EXP 	fixation: autoDraw = True
143.0798 	EXP 	fixation: autoDraw = False
143.0798 	EXP 	grating: autoDraw = True
143.3797 	EXP 	grating: autoDraw = False
143.7672 	EXP 	New trial (rep=55, index=0): None
143.7700 	DATA 	Keypress: down
143.7792 	EXP 	fixation: autoDraw = False
143.7792 	EXP 	grating: autoDraw = False
143.7792 	EXP 	grating: ori = -5.0
143.7792 	EXP 	fixation: autoDraw = True
144.7799 	EXP 	fixation: autoDraw = False
144.7799 	EXP 	grating: autoDraw = True
145.0795 	EXP 	grating: autoDraw = False
145.3173 	EXP 	New trial (rep=56, index=0): None
145.3202 	DATA 	Keypress: down
145.3296 	EXP 	fixation: autoDraw = False
145.3296 	EXP 	grating: autoDraw = False
145.3296 	EXP 	grating: ori = 0.0
145.3296 	EXP 	fixation: autoDraw = True
146.3293 	EXP 	fixation: autoDraw = False
146.3293 	EXP 	grating: autoDraw = True
146.6297 	EXP 	grating: autoDraw = False
147.3509 	EXP 	New trial (rep=57, index=0): None
147.3536 	DATA 	Keypress: up
147.3629 	EXP 	fixation: autoDraw = False
147.3629 	EXP 	grating: autoDraw = False
147.3629 	EXP 	grating: ori = 1.0
147.3629 	EXP 	fixation: autoDraw = True
